"company_id","company_trade_name","nickname","make_default","has_facility","address_1","address_2","suite","city","state","postal","country"
"","AeroFarms","AeroFarms Abu Dhabi, UAE","False","True","","","","Abu Dhabi","NULL","11111","UAE"
"","AeroFarms","AeroFarms Danville, VA","False","True","","","","Danville","VA","11111","USA"
"","AeroFarms","AeroFarms HQ Farm - Newark","False","True","212 Rome Street","","","Newark","NJ","07105","USA"
"","AeroFarms","AeroFarms HQ Office - Newark","True","True","212 Rome Street","","","Newark","NJ","07105","USA"
"","AeroFarms","Midwest Farm","False","True","","","","St. Louis","MO","11111","USA"
"","AeroFarms","Newark Farm","False","True","400 Ferry Street","","","Newark","NJ","07105","USA"
"","AeroFarms","Research and Development Farm - Newark","False","True","89 Market Street","","","Newark","NJ","11111","USA"
"","Bowery Farming","Bethlehem Farm","False","True","","","","Bethlehem","PA","11111","USA"
"","Bowery Farming","Headquarters","True","True","151 W 26TH ST","12TH FLOOR","","NEW YORK","NY","10001","USA"
"","Bowery Farming","Kearny Farm","False","True","1 Eastern Road","","","Kearny","NJ","11111","USA"
"","Bowery Farming","Kearny Research & Development Center","False","True","10 Basin Drive ","","","Kearny","NJ","11111","USA"
"","Bowery Farming","Nottingham Farm","False","True","","","","Nottingham","MD","11111","USA"
"","BrightFarms","Culpeper, Virginia Farm","False","True","13200 Willow Run Drive","","","Elkwood","VA","22718","USA"
"","BrightFarms","Farm Support Center","False","True","50 S. Buckhout Street","","Suite 202","Irvington","NY","10533","USA"
"","BrightFarms","Headquarters","True","True","One Bridge Street","","Suite 002-4","Irvington","NY","10533","USA"
"","BrightFarms","Hendersonville, North Carolina Farm","False","True","822 Pleasant Grove Road","","","Hendersonville","NC","28739","USA"
"","BrightFarms","Loudon, New Hampshire Farm","False","True","662 NH-106","","","Loudon","NH","03307","USA"
"","BrightFarms","Rochelle, Illinois Farm","False","True","600 S Caron Rd","","","Rochelle","IL","61068","USA"
"","BrightFarms","Selinsgrove, Pennsylvania Farm","False","True","1 Lorian Drive","","","Selinsgrove","PA","17870","USA"
"","BrightFarms","unknown","False","False","754 Stony Hill Rd","","","Morrisville","PA","","USA"
"","BrightFarms","Wilmington, Ohio Farm","False","True","780 Davids Dr","","","Wilmington","OH","45177","USA"
"","Element Farms","HQ","True","True","","","","New York","NJ","10282","USA"
"","Element Farms","Production farm","False","True","","","","Lafayette","NJ","07860","USA"
"","Farm.One","Flagship Farm","False","True","625 Bergen St","","","Brooklyn","NY","11238","USA"
"","Farm.One","Flagship Farm - office","True","True","","","","","","",""
"","Gotham Greens","Chicago Woodlawn Ave greenhouse","False","True","10636 S Woodlawn Ave","","","Chicago","IL","","USA"
"","Gotham Greens","Jamaica, Queens greenhouse","False","True","184-60 Jamaica Ave","","","Hollis","NY","","USA"
"","Gotham Greens","Baltimore greenhouse","False","True","2003 Reservoir RD","","","Sparrows Point","MD","","USA"
"","Gotham Greens","Gowanus, Brooklyn greenhouse","False","True","214 3rd St","","","Brooklyn","NY","11215","USA"
"","Gotham Greens","Aurora, Denver Metro greenhouse","False","True","2503 Dallas St","","","Aurora","CO","","USA"
"","Gotham Greens","Headquarters","True","True","315 3rd Ave","","","Brooklyn","NY","11215","USA"
"","Gotham Greens","Providence greenhouse","False","True","555 Harris Ave","","","Providence","RI","","USA"
"","Gotham Greens","Chicago Method soap factory greenhouse","False","True","720 E 111th St","","","Chicago","IL","","USA"
"","Gotham Greens","Greenpoint, Brooklyn greenhouse","False","True","810 Humboldt St","","","Brooklyn","NY","","USA"
"","Gotham Greens","Davis, California greenhouse","False","True","9113 Olmo Ln","","","Dixon","CA","","USA"
"","Gotham Greens","Denver Metro greenhouse - coming soon","False","True","TBD","","","TBD","CO","","USA"
"","Gotham Greens","Atlanta Metro greenhouse - coming soon","False","True","TBD","","","TBD","GA","","USA"
"","Gotham Greens","Dallas County greenhouse - coming soon","False","True","TBD","","","TBD","TX","","USA"
"","Gotham Greens","Stevensburg, Virginia greenhouse","False","True","TBD","","","Stevensburg","VA","","USA"
"","Oishii","Kearny farm","False","True","1 Eastern Road","","","Kearny","NJ","07032","USA"
"","Oishii","Jersey City Farm","False","True","101 Linden Avenue East","","","Jersey City","NJ","07305","USA"
"","Oishii","Headquarters","True","True","9 Basin Drive","","","Kearny","NJ","07032","USA"
"","Oishii","Los Angeles farm","False","True","TBD","","","TBD","CA","","USA"
"","Radicle Farm","Farrn","False","True","19X Christopher Columbus Dr","","","Newark","NJ","","USA"
"","Radicle Farm","Office","True","True","394 Broadway","5th Fl","","New York","NY","10013","USA"
"","Smallhold","Headquarters","True","True","33 Carlton Avenue","","","BROOKLYN","NY","11205","USA"
"","Smallhold","Brooklyn Macrofarm","False","True","630 Flushing Ave","","","Brooklyn","NY","11206","USA"
"","Smallhold","Vernon Farm","False","True","","","","Vernon","CA","","USA"
"","Smallhold","Buda Farm - production","False","True","","","","Buda","TX","","USA"
"","Smallhold","Buda Farm - R&D","False","True","","","","Buda","TX","","USA"
"","Square Roots","Kenosha farm","False","True","10901 38th Street","","","Kenosha","WI","53144","USA"
"","Square Roots","Headquarters","True","True","1133 Manhattan Ave","","","Brooklyn","NY","11222","USA"
"","Square Roots","Grand Rapids Campus","False","True","1300 Gezon Parkway SW","","","Wyoming","MI","49509","USA"
"","Square Roots","Brooklyn farm","False","True","630 Flushing Ave.","","","Brooklyn","NY","11206","USA"
"","Square Roots","Shepherdsville Campus - farm","False","True","","","","Shepherdsville","KY","","USA"
"","Square Roots","Shepherdsville Campus - office","False","True","","","","Shepherdsville","KY","","USA"
"","Square Roots","Springfield Campus","False","True","","","","Springfield","Ohio","","USA"
"","Upward Farms","Headquarters - office","True ","True","181 Lombardy St","","","Brooklyn","NY","11222","USA"
"","Upward Farms","Headquarters - farm","False","True","181 Lombardy St","","","Brooklyn","NY","11222","USA"